id,commit,days
1582,false,1
1583,false,0
1584,false,0
1585,false,0
1586,false,0
1587,false,0
1588,false,0
1589,false,0
1590,false,2
1591,true,28
1592,false,133
1593,true,1
1594,false,17
1595,false,0
1596,false,502
1598,false,11
1599,false,0
1600,false,0
1601,false,0
1602,false,378
1604,false,0
1605,false,0
1606,true,0
1607,false,0
1608,false,0
1609,false,29
1610,true,8
1611,false,0
1612,false,0
1613,true,0
1614,false,0
1615,true,0
1616,false,0
1617,false,0
1618,false,0
1619,false,0
1620,false,0
1621,false,0
1622,false,27
1623,false,0
1624,false,27
1625,false,0
1626,false,27
1627,false,0
1628,false,0
1629,false,1
1630,false,26
1631,false,221
1632,true,0
1633,false,0
1635,false,0
1636,false,2
1637,false,0
1638,false,0
1639,false,2
1640,false,15
1641,false,0
1642,false,2
1643,false,3
1644,false,0
1645,false,0
1646,false,0
1647,false,0
1648,false,0
1649,true,1
1650,false,6
1651,false,0
1652,true,1
1653,false,19
1654,false,0
1655,false,0
1656,false,19
1657,false,0
1658,false,257
1659,false,1
1660,false,0
1661,false,0
1662,false,18
1663,true,0
1664,false,0
1665,false,0
1666,false,0
1667,false,0
1668,true,0
1669,false,0
1671,false,17
1673,false,0
1674,false,0
1675,true,63
1676,false,1
1678,true,9
1679,true,0
1680,false,1
1681,false,0
1682,false,1
1683,false,608
1684,false,0
1685,false,0
1686,false,0
1687,false,0
1688,false,0
1689,false,0
1690,true,2
1691,false,0
1692,true,8
1693,false,0
1694,false,0
1695,false,0
1696,true,0
1697,false,0
1698,false,0
1699,false,0
1700,false,3
1701,true,359
1702,false,0
1703,false,0
1704,false,0
1705,false,0
1706,false,0
1707,true,0
1708,false,0
1709,false,0
1710,false,206
1712,false,14
1713,false,2
1714,false,0
1715,false,475
1716,false,80
1717,false,0
1718,false,0
1719,false,27
1720,false,0
1721,true,1
1722,true,0
1723,false,0
1724,false,1
1725,false,0
1726,false,1
1727,false,8
1728,true,5
1729,false,0
1730,false,0
1731,false,255
1732,false,1
1733,false,0
1735,false,0
1736,false,0
1737,false,40
1738,true,3
1739,false,0
1740,false,205
1741,false,0
1742,false,0
1743,true,3
1744,false,1
1745,false,0
1747,false,2
1748,false,2
1749,true,0
1750,true,54
1751,true,56
1752,false,0
1753,false,4
1754,true,0
1755,false,0
1756,false,0
1757,false,0
1758,false,18
1759,false,467
1760,false,0
1761,false,1
1762,true,0
1763,false,0
1764,false,0
1765,true,1
1766,true,1
1767,true,3
1768,false,85
1769,true,90
1770,false,17
1771,false,0
1772,false,0
1773,false,0
1774,false,2
1775,false,0
1777,false,0
1778,false,0
1779,false,0
1780,false,194
1781,false,0
1782,true,1
1783,false,0
1784,false,1
1785,false,0
1786,true,1
1788,false,0
1789,false,0
1790,false,0
1791,false,3
1792,false,0
1793,false,300
1794,false,299
1795,false,461
1796,false,0
1797,false,0
1798,false,0
1799,true,0
1800,false,1
1801,false,0
1802,false,0
1803,false,0
1804,false,1
1805,false,77
1806,false,0
1807,false,0
1808,false,9
1809,false,25
1810,false,25
1811,false,0
1812,false,3
1813,false,0
1814,false,0
1815,false,0
1816,false,0
1817,true,99
1818,false,1
1820,false,0
1821,false,9
1822,true,4
1823,false,2
1825,false,2
1826,false,1
1827,false,292
1828,false,22
1829,false,1
1831,true,3
1832,false,0
1833,true,2
1834,false,291
1835,false,0
1836,false,0
1837,false,130
1839,false,177
1840,false,0
1841,false,5
1842,false,0
1843,false,0
1844,false,0
1846,false,13
1847,false,0
1848,true,60
1849,false,0
1850,false,11
1851,false,180
1852,false,72
1853,false,85
1854,false,0
1855,false,0
1856,false,28
1857,false,0
1858,true,0
1859,false,0
1860,true,0
1861,false,0
1862,false,0
1863,false,0
1864,false,68
1865,false,0
1866,false,0
1867,false,0
1868,false,0
1869,false,1
1870,false,0
1871,true,1
1872,false,0
1873,false,64
1874,false,177
1875,false,55
1876,false,179
1877,false,329
1878,false,6
1880,false,7
1881,false,0
1882,false,0
1884,false,2
1885,false,6
1886,false,1
1887,false,0
1888,false,0
1889,false,177
1890,false,0
1891,false,0
1892,false,10
1893,false,0
1894,true,0
1895,false,0
1896,false,0
1897,false,0
1898,false,1
1899,false,0
1900,false,0
1901,false,0
1902,true,0
1903,false,0
1904,false,0
1905,false,0
1906,false,0
1907,true,110
1908,false,0
1909,false,329
1910,false,5
1911,false,0
1912,false,0
1913,false,15
1914,false,0
1915,false,0
1916,false,0
1917,false,164
1918,true,0
1919,false,0
1920,false,0
1921,true,0
1922,false,0
1924,false,0
1926,false,0
1927,false,0
1928,false,0
1929,true,192
1930,false,0
1931,true,1
1932,false,0
1933,false,0
1934,false,0
1935,false,0
1936,false,46
1937,true,1
1938,false,159
1939,false,46
1940,false,1
1941,false,0
1942,false,0
1943,false,1
1944,false,47
1946,false,0
1947,false,0
1948,false,0
1949,false,0
1950,true,18
1951,false,0
1952,true,2
1953,true,79
